_id,Yil,Ilce,ilce_kodu,Erkek ve 0-4,Erkek ve 5-9,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadin ve 0-4,Kadin ve 5-9,Kadin ve 10-14,Kadin ve 15-19,Kadin ve 20-24,Kadin ve 25-29,Kadin ve 30-34,Kadin ve 35-39,Kadin ve 40-44,Kadin ve 45-49,Kadin ve 50-54,Kadin ve 55-59,Kadin ve 60-64,Kadin ve 65-69,Kadin ve 70-74,Kadin ve 75-79,Kadin ve 80-84,Kadin ve 85-89,Kadin ve 90+
63,2008,Şile,1659,788,887,990,973,1772,1179,1078,1008,1029,898,871,725,718,655,454,407,232,67,8,776,845,968,914,1007,1025,1010,993,909,908,855,813,741,676,483,457,317,114,21
64,2008,Silivri,1622,4574,4886,5365,5227,5528,6482,5794,5152,4646,4207,3412,2694,1948,1485,1145,809,384,133,30,4257,4584,4961,4773,5114,5850,5376,5016,4342,3897,3298,2586,2008,1553,1181,1042,577,222,63
65,2008,Şişli,1663,9752,9659,10015,10346,13549,17532,16362,14206,11523,10088,8596,6741,4877,3295,2489,2108,1331,556,182,9283,8951,9360,9950,13393,17941,16439,14062,11807,10178,9184,7360,5820,4492,3531,3386,2741,1099,482
66,2008,Sultanbeyli,2014,16391,16622,16261,15149,12310,16051,13060,10946,8487,7280,5045,2973,1750,1150,732,633,223,55,7,15232,15720,15123,13794,14253,14679,11116,9529,7705,6288,4492,2923,2014,1568,925,911,448,137,44
67,2008,Sultangazi,2055,23500,24225,23116,21236,18074,25673,22983,19341,14909,11610,8620,6167,3640,2077,1190,835,324,97,26,22129,22683,21227,19110,21464,24554,20754,16764,12796,10428,8444,6115,3882,2448,1552,1329,672,224,77
68,2008,Tuzla,2015,7793,7629,7676,7462,10659,9696,8408,7416,6127,5230,3816,2653,1734,1070,667,544,219,60,9,7301,7142,7130,6769,8064,9012,7650,6918,5708,4512,3621,2508,1760,1229,834,748,469,154,56
69,2008,Ümraniye,1852,25235,24727,24752,23147,23000,30697,29485,25789,21167,17481,13330,9188,5682,3456,2037,1679,621,162,42,23102,23561,23062,21796,24653,30890,27759,24065,19083,16102,12759,8451,5847,4135,2643,2380,1309,489,172
70,2008,Üsküdar,1708,17906,18381,19954,19503,23310,26179,24624,22594,19584,17771,15198,11861,8474,5683,3870,3146,1533,412,126,16946,17348,18758,18586,21177,27043,25962,23380,20202,17954,15489,12047,8989,6722,5024,4550,3105,1087,411
71,2008,Zeytinburnu,1739,11957,12043,12777,13161,12678,15693,13926,12371,10262,9132,7462,5294,3314,2053,1430,1103,482,138,39,11431,11422,12138,12178,13995,15073,13123,11663,9858,8710,7114,5185,3402,2481,1849,1674,981,341,125
72,2009,Adalar,1103,330,310,345,437,1147,708,595,554,483,522,537,488,401,303,217,193,74,39,9,344,316,306,357,448,554,509,495,476,516,540,448,395,304,232,198,118,68,25
73,2009,Arnavutköy,2048,10105,9773,9608,8703,7350,9491,8173,6913,5239,5002,3736,2450,1586,1012,692,556,240,71,10,9275,9470,8803,7796,8187,8828,6937,6215,4731,4468,3320,2322,1641,1207,806,629,378,109,39
74,2009,Ataşehir,2049,14531,14186,14583,14014,13508,18465,18200,17070,13879,12308,9982,7214,5255,3229,1938,1551,645,208,37,13861,13426,13773,13865,15116,18889,18477,16922,13224,11724,9486,7044,5362,3434,2335,1956,1224,511,183
75,2009,Avcılar,2003,14497,13960,14127,14219,14655,19583,18003,15332,12007,11259,9329,7011,4856,2805,1848,1346,564,177,30,13773,13158,13422,13316,16065,18942,16535,14533,11835,11465,9352,6870,5033,3177,2279,1740,1018,391,123
76,2009,Bağcılar,2004,36745,36171,36040,33496,29906,40802,36814,32154,24311,21029,15299,10413,6954,3957,2198,1662,624,226,45,34998,34010,33653,31413,34886,39142,33295,29873,21276,19363,14320,10496,7319,4421,2843,2210,1238,512,154
77,2009,Bahçelievler,2005,23078,22538,23660,23683,23756,31706,29092,25371,20450,18403,15548,11399,7939,5121,3117,2482,991,274,67,22190,21523,22625,22338,25827,31226,27602,24734,20001,18817,15367,11359,8635,5548,4177,3270,1889,742,254
78,2009,Bakırköy,1166,5155,5309,5961,6689,9380,9114,8947,8299,7649,7843,7561,6388,5430,3707,2655,2273,1351,508,93,4800,5017,5612,6453,7933,10106,10019,9574,9125,9077,8384,7109,5803,4348,3650,3234,2411,1020,365
79,2009,Başakşehir,2050,11920,12559,12290,10554,8322,10355,10066,10525,8829,7149,4841,2879,1818,1050,688,484,201,56,15,11260,11888,11465,9942,9384,11159,10969,10232,7481,6010,4048,2741,1945,1188,873,629,393,132,47
80,2009,Bayrampaşa,1886,9963,10540,11175,11151,11217,13778,13047,11904,10365,9296,7852,5853,3726,2482,1804,1346,630,180,49,9662,9839,10541,10265,11161,13218,12566,11471,9874,8980,7261,5534,3997,2993,2273,1894,1081,348,109
81,2009,Beşiktaş,1183,4103,3927,4178,5040,9042,8448,8103,7230,6536,6130,5797,4808,4142,3256,2457,2093,1419,587,187,3826,3634,3838,4662,7116,9559,9381,8447,7483,7131,6826,5773,5118,4200,3413,3131,2383,1193,457
82,2009,Beykoz,1185,9212,9211,9956,9936,10248,11949,11278,10731,9209,8706,7413,5240,3516,2403,1651,1401,590,188,50,8568,8730,9356,9411,10446,11789,11348,10498,8880,8551,6844,4858,3682,2676,2109,1828,1135,402,138
83,2009,Beylikdüzü,2051,8028,7873,7622,7028,6742,8963,10301,9695,7628,6679,5207,3897,2782,1527,998,647,275,104,20,7494,7446,7260,6540,7487,10501,11113,9545,7471,6374,5144,3873,2807,1699,1281,951,616,269,85
84,2009,Beyoğlu,1186,9442,9319,9945,10028,10284,13293,11959,10837,9315,8348,6973,4842,3363,2311,1539,1370,619,201,50,8890,8769,9444,9287,10509,12305,11342,10359,8586,7960,6329,4581,3541,2700,2175,1916,1138,478,169
85,2009,Büyükçekmece,1782,6865,7098,7312,6659,7073,8207,8106,7494,6295,5861,4680,3537,2656,1824,1206,865,362,98,31,6514,6466,6882,6205,7125,8242,8038,7626,6106,5698,4452,3575,2811,1934,1348,1056,592,246,77
86,2009,Çatalca,1237,2083,2195,2556,2501,3810,2965,2612,2456,2261,2249,2029,1527,1247,804,669,515,291,90,29,1947,2141,2382,2341,2305,2626,2468,2321,2289,2155,1866,1443,1205,895,786,643,402,134,39
87,2009,Çekmeköy,2052,7470,7314,7075,6304,5972,8080,8091,7437,5854,4954,3624,2383,1580,979,538,440,150,41,8,7179,6834,6724,5960,6485,8347,7923,6888,5132,4429,3230,2232,1637,1046,680,583,330,138,32
88,2009,Esenler,2016,22737,22635,23084,21727,20590,26129,22991,20503,15834,13563,9766,6435,4134,2558,1476,1118,420,101,20,21733,21403,21914,20024,21434,24006,21007,18761,13855,12382,9005,6424,4543,2872,2012,1539,841,301,103
89,2009,Esenyurt,2053,22095,20412,19481,18195,17419,24690,21655,18131,12904,11024,8217,5312,3523,1944,1180,844,330,98,28,20924,19092,17752,16397,20070,23244,19063,16034,11153,10196,7453,5224,3730,2289,1547,1258,662,245,80
90,2009,Eyüp,1325,13181,13387,14180,13363,13016,16785,16524,15396,12756,11239,9297,6595,4554,2863,1766,1485,612,231,38,12531,12481,12998,12227,13721,16936,16053,14962,11981,10960,8519,6307,4813,3257,2495,2171,1252,466,150
91,2009,Fatih,1327,14259,14114,15516,16673,19241,23036,19841,17124,14775,14125,12732,10270,7933,5604,4074,3580,1691,596,142,13434,13311,14640,15697,19710,20399,18506,16923,15030,14597,12993,10707,8985,6906,5972,5324,3467,1430,439
92,2009,Gaziosmanpaşa,1336,20638,20585,21223,19981,17845,23769,22655,20203,16218,14780,11920,8653,5607,3495,2112,1755,731,205,53,19558,19482,19847,18660,20491,23347,21336,19091,15266,14335,11412,8345,5978,3945,2981,2455,1552,554,167
93,2009,Güngören,2010,12209,12072,12666,12875,12869,16573,15278,13551,11017,10419,8621,6259,4638,2912,1792,1488,627,173,30,11796,11240,11817,12148,13853,16060,14592,13176,10985,10474,8465,6490,4873,3323,2506,2018,1212,430,145
94,2009,Kadıköy,1421,11700,11636,12445,14733,17693,21932,22427,20025,17619,17109,16965,15300,13654,10215,7769,6625,4282,1819,512,11207,10955,12154,14327,18658,24031,24882,22906,20744,21282,20866,18433,16999,13325,10978,9875,7909,3813,1387
95,2009,Kağıthane,1810,17298,16683,17922,17162,17365,23038,21731,19712,16454,13891,10266,6630,4308,2965,1991,1883,613,144,32,16519,16079,16890,15705,18143,21728,20546,18863,14878,12774,9239,6593,4997,3843,2793,2266,1296,419,138
96,2009,Kartal,1449,16111,16119,16729,16731,17355,21617,21310,19386,16166,14662,12245,8766,6568,4321,2602,2148,935,293,64,15215,14863,15697,15446,17385,21780,20904,19435,15822,14737,11754,8872,6960,4738,3427,2770,1818,679,250
97,2009,Küçükçekmece,1823,29510,29454,29748,28842,27060,36058,34208,31111,24488,21602,16448,11854,8081,5116,3186,2457,982,327,76,27880,27871,27722,26750,30054,35838,32707,29672,22847,20398,15618,11881,8837,5716,4254,3373,1872,662,235
98,2009,Maltepe,2012,14175,13720,14954,15739,20431,21689,21115,19101,15781,14518,12621,9746,7461,4940,3126,2656,1217,414,119,13497,12962,14060,14247,17418,21173,20992,19327,15769,14933,13079,10452,8221,5687,4194,3721,2466,964,356
99,2009,Pendik,1835,25971,25211,25401,23636,22271,30766,29203,25685,20247,18029,13914,9412,6474,4251,2529,2060,837,269,57,24217,23682,23608,22225,24617,29882,26908,24030,18230,16622,12783,9133,6779,4730,3300,2696,1638,624,195
100,2009,Sancaktepe,2054,12882,12323,11898,11117,10220,13829,12350,11056,7994,7116,5018,3034,2027,1236,722,592,224,72,19,12110,11712,11140,10198,11582,13126,11110,9689,6980,6283,4322,3110,2236,1434,984,818,449,162,59
